DescripcionCIAN,ActividadBMXID,DescripcionBMX
ACUICULTURA ANIMAL,0441014,RECOLECCION DE CONCHAS HUEVOS CORALES ESPONJAS Y PERLAS
APICULTURA,,
EXPLOTACION DE EQUIDOS,,
CUNICULTURA Y EXPLOTACION DE ANIMALES DE PIEL CON PELAJE FINO,6214019170,COMPRA VENTA DE PIELES FINAS CON PELO
EXPLOTACION DE OTROS ANIMALES,9231010,SERVICIOS VETERINARIOS EN CLINICAS Y CONSULTORIOS  INCLUSO ZOOTECNISTAS  PENSIONES DE ANIMALES Y OTROS SERVICIOS AUXILIARES
EXPLOTACION DE OTROS ANIMALES,8949010,TAXIDERMISTA
EXPLOTACION DE OTROS ANIMALES,6619053170,COMPRA VENTA DE OTRAS MATERIAS PRIMAS DE ORIGEN ANIMAL
EXPLOTACION DE OTROS ANIMALES,6619053,COMPRAVENTA DE OTRAS MATERIAS PRIMAS DE ORIGEN ANIMAL
EXPLOTACION DE OTROS ANIMALES,6619029170,COMPRA VENTA DE LANA
EXPLOTACION DE OTROS ANIMALES,6126024,COMPRAVENTA DE MATERIAS PRIMAS ANIMALES
EXPLOTACION DE OTROS ANIMALES,6126016170,COMPRA VENTA DE MANTECA
EXPLOTACION DE OTROS ANIMALES,6121032170,COMPRA VENTA DE GANADO MENOR EN PIE
EXPLOTACION DE OTROS ANIMALES,6121024170,COMPRA VENTA DE GANADO MAYOR EN PIE
EXPLOTACION DE OTROS ANIMALES,3999036,FABRICACION DE ARTICULOS DE CONCHA
EXPLOTACION DE OTROS ANIMALES,3999028,FABRICACION DE ARTICULOS DE CAREY
EXPLOTACION DE OTROS ANIMALES,259011010,CRIA Y EXPLOTACION DE ANIMALES DOMESTICOS  PARA LABORATORIO Y OTROS FINES NO ALIMENTICIOS
EXPLOTACION DE OTROS ANIMALES,0459025,CRIA Y EXPLOTACION DE PECES  OTRAS ESPECIES ANIMALES Y PLANTAS ACUATICAS
EXPLOTACION DE OTROS ANIMALES,0451013,CAPTURA DE PECES EN RIOS  LAGOS Y ESTUARIOS
EXPLOTACION DE OTROS ANIMALES,0419011,CAPTURA DE OTROS PECES EN ESTUARIOS COSTAS O ALTA MAR
EXPLOTACION DE OTROS ANIMALES,0259029,CRIA Y EXPLOTACION DE GUSANO DE SEDA
EXPLOTACION DE OTROS ANIMALES,0259011,"CRIA Y EXPLOTACION DE ANIMALES DOMESTICOS, PARA LABORATORIO Y OTROS FINES NO ALIMENTICIOS"
EXPLOTACION DE OTROS ANIMALES,0251017,CRIA Y EXPLOTACION DE CONEJOS Y LIEBRES
EXPLOTACION DE OTROS ANIMALES,0241018,CRIA Y EXPLOTACION DE ABEJAS
SILVICULTURA,0329913,CARTERA SILVICOLA DE ESTADOS ANALITICOS
SILVICULTURA,0329905,"USUARIOS MENORES SILVICULTURA, PESCA Y PRESERVACION DE ANIMALES SALVAJES"
SILVICULTURA,0300004,SILVICULTURA
